ID,Species,Usage
image_1.jpg,Eresus_annulatus,Train
image_2.jpeg,Agonum_sexpunctatum,Train
image_3.jpeg,Bembidion_quadrimaculatum,Train
image_4.jpeg,Nepa_cinerea,Train
image_5.jpeg,Carabus_nemoralis,Train
image_6.jpg,Carabus_granulatus,Train
image_7.jpg,Lygus_pratensis,Train
image_8.jpeg,Carabus_nemoralis,Train
image_9.jpeg,Carabus_monilis,Train
image_10.jpg,Carabus_convexus,Train
image_11.jpeg,Nepa_cinerea,Train
image_12.jpeg,Ilyocoris_cimicoides,Train
image_13.jpg,Nabis_brevis,Train
image_14.jpg,Hydrometra_stagnorum,Train
image_15.jpeg,Carabus_auratus,Train
image_17.jpg,Ischnodemus_sabuleti,Train
image_18.jpeg,Carabus_auratus,Train
image_19.jpeg,Ilyocoris_cimicoides,Train
image_20.jpg,Agonum_muelleri,Train
image_21.jpeg,Graphosoma_lineatum,Train
image_22.jpg,Nepa_cinerea,Train
image_23.jpeg,Ilyocoris_cimicoides,Train
image_24.jpg,Nabis_brevis,Train
image_25.jpg,Agonum_muelleri,Train
image_26.jpg,Bembidion_lampros,Train
image_27.jpeg,Carabus_auronitens,Train
image_28.jpeg,Adelphocoris_seticornis,Train
image_29.jpeg,Lygaeus_equestris,Train
image_30.jpeg,Lygaeus_equestris,Train
image_31.jpeg,Bembidion_quadrimaculatum,Train
image_32.jpeg,Lygus_pratensis,Train
image_33.jpeg,Lygus_pratensis,Train
image_34.jpeg,Carabus_granulatus,Train
image_35.jpeg,Carabus_nemoralis,Train
image_36.jpeg,Carabus_coriaceus,Train
image_37.jpg,Hydrometra_stagnorum,Train
image_38.jpeg,Dolycoris_baccarum,Train
image_39.jpg,Corizus_hyoscyami,Train
image_40.jpeg,Stenodema_laevigatum,Train
image_41.jpeg,Lygocoris_pabulinus,Train
image_42.jpeg,Carabus_auratus,Train
image_43.jpeg,Leistus_ferrugineus,Train
image_44.jpg,Carabus_auratus,Train
image_45.jpeg,Carabus_granulatus,Train
image_46.jpeg,Hydrometra_stagnorum,Train
image_47.jpeg,Carabus_auronitens,Train
image_48.jpg,Eresus_annulatus,Train
image_49.jpeg,Agonum_sexpunctatum,Train
image_50.jpg,Carabus_auratus,Train
image_51.jpeg,Carabus_problematicus,Train
image_52.jpeg,Agonum_sexpunctatum,Train
image_53.jpg,Dolycoris_baccarum,Train
image_54.jpeg,Ilyocoris_cimicoides,Train
image_55.jpeg,Carabus_granulatus,Train
image_56.jpeg,Capsodes_gothicus,Train
image_57.jpeg,Agonum_marginatum,Train
image_58.jpeg,Hydrometra_stagnorum,Train
image_59.jpeg,Carabus_auronitens,Train
image_60.jpeg,Nabis_brevis,Train
image_61.jpeg,Ilyocoris_cimicoides,Train
image_62.jpeg,Dolycoris_baccarum,Train
image_63.jpeg,Nebria_brevicollis,Train
image_64.jpg,Agonum_muelleri,Train
image_65.jpeg,Eresus_annulatus,Train
image_66.jpeg,Corizus_hyoscyami,Train
image_67.jpeg,Carabus_monilis,Train
image_68.jpeg,Leistus_ferrugineus,Train
image_69.jpeg,Graphosoma_lineatum,Train
image_70.jpeg,Rhinocoris_iracundus,Train
image_71.jpeg,Agonum_muelleri,Train
image_72.jpeg,Carabus_granulatus,Train
image_73.jpg,Lygocoris_pabulinus,Train
image_74.jpeg,Corizus_hyoscyami,Train
image_75.jpeg,Bembidion_lampros,Train
image_76.jpeg,Rhinocoris_iracundus,Train
image_77.jpeg,Coreus_marginatus,Train
image_78.jpeg,Carabus_convexus,Train
image_79.jpg,Carabus_convexus,Train
image_80.jpg,Alydus_calcaratus,Train
image_81.jpeg,Carpocoris_purpureipennis,Train
image_82.jpeg,Rhinocoris_iracundus,Train
image_83.jpeg,Carabus_cancellatus,Train
image_84.jpeg,Carabus_coriaceus,Train
image_85.jpeg,Ilyocoris_cimicoides,Train
image_86.jpeg,Aelia_acuminata,Train
image_87.jpeg,Carabus_problematicus,Train
image_88.jpeg,Carabus_auratus,Train
image_89.jpeg,Alydus_calcaratus,Train
image_90.jpeg,Carabus_granulatus,Train
image_91.jpeg,Bembidion_tetracolum,Train
image_92.jpg,Aelia_acuminata,Train
image_93.jpeg,Carabus_nemoralis,Train
image_94.jpeg,Carabus_coriaceus,Train
image_95.jpeg,Carabus_problematicus,Train
image_96.jpeg,Agonum_muelleri,Train
image_97.jpeg,Rhinocoris_iracundus,Train
image_98.jpeg,Eresus_annulatus,Train
image_99.jpg,Bembidion_lampros,Train
image_100.jpeg,Nebria_brevicollis,Train
image_101.jpeg,Carabus_granulatus,Train
image_102.jpg,Carabus_coriaceus,Train
image_103.jpeg,Carpocoris_purpureipennis,Train
image_104.jpg,Eresus_annulatus,Train
image_105.jpeg,Eresus_annulatus,Train
image_106.jpeg,Carabus_monilis,Train
image_107.jpg,Carpocoris_purpureipennis,Train
image_108.jpeg,Carabus_convexus,Train
image_109.jpeg,Carabus_granulatus,Train
image_110.jpeg,Carabus_coriaceus,Train
image_111.jpeg,Graphosoma_lineatum,Train
image_112.jpeg,Agonum_muelleri,Train
image_113.jpeg,Bembidion_lampros,Train
image_114.jpg,Alydus_calcaratus,Train
image_115.jpeg,Dolycoris_baccarum,Train
image_116.jpg,Capsodes_gothicus,Train
image_117.jpeg,Carabus_granulatus,Train
image_118.jpg,Stenodema_laevigatum,Train
image_119.jpeg,Nepa_cinerea,Train
image_120.jpeg,Lygaeus_equestris,Train
image_121.jpeg,Leistus_ferrugineus,Train
image_122.jpeg,Carabus_monilis,Train
image_123.jpeg,Hydrometra_stagnorum,Train
image_124.jpg,Capsodes_gothicus,Train
image_125.jpeg,Lygaeus_equestris,Train
image_126.jpeg,Rhinocoris_iracundus,Train
image_127.jpeg,Carabus_problematicus,Train
image_128.jpeg,Lygus_pratensis,Train
image_129.jpg,Coreus_marginatus,Train
image_130.jpeg,Graphosoma_lineatum,Train
image_131.jpg,Agonum_sexpunctatum,Train
image_132.jpeg,Nebria_brevicollis,Train
image_133.jpeg,Carabus_auronitens,Train
image_134.jpeg,Aelia_acuminata,Train
image_135.jpeg,Graphosoma_lineatum,Train
image_136.jpg,Eresus_annulatus,Train
image_137.jpeg,Bembidion_lampros,Train
image_138.jpeg,Agonum_muelleri,Train
image_139.jpeg,Capsodes_gothicus,Train
image_140.jpeg,Coreus_marginatus,Train
image_141.jpeg,Aelia_acuminata,Train
image_142.jpeg,Ilyocoris_cimicoides,Train
image_143.jpeg,Ilyocoris_cimicoides,Train
image_144.jpeg,Carabus_cancellatus,Train
image_145.jpg,Bembidion_tetracolum,Train
image_146.jpeg,Carpocoris_purpureipennis,Train
image_147.jpeg,Carpocoris_purpureipennis,Train
image_148.jpeg,Coreus_marginatus,Train
image_149.jpeg,Lygocoris_pabulinus,Train
image_150.jpeg,Ilyocoris_cimicoides,Train
image_151.jpeg,Corizus_hyoscyami,Train
